BlFract  AeroCent  StrcTwst  BMassDen  FlpStff     EdgStff     GJStff     EAStff      Alpha  FlpIner  EdgIner  PrecrvRef  PreswpRef  FlpcgOf  EdgcgOf   FlpEAOf  EdgEAOf
(-)      (-)       (deg)     (kg/m)    (Nm^2)      (Nm^2)      (Nm^2)     (N)         (-)    (kg m)   (kg m)   (m)        (m)        (m)      (m)       (m)      (m)
0.00000  0.25000   13.308    678.935   18110.00E6  18113.60E6  5564.40E6   9729.48E6  0.0     972.86   973.04  0.0        0.0        0.0       0.00017  0.0      0.0
0.10081  0.19608   13.308    424.054    6309.54E6   9144.70E6  1907.87E6   4971.30E6  0.0     400.53   593.73  0.0        0.0        0.0       0.07718  0.0      0.0
0.19837  0.12500   12.848    406.186    3386.52E6   7081.70E6   547.49E6   4085.97E6  0.0     215.91   601.28  0.0        0.0        0.0       0.30756  0.0      0.0
0.29595  0.12500   10.232    339.333    2050.05E6   4501.40E6   261.00E6   2613.97E6  0.0     124.61   398.18  0.0        0.0        0.0       0.23155  0.0      0.0
0.39350  0.12500    8.534    313.820    1361.93E6   3750.76E6   174.38E6   1944.09E6  0.0      80.24   308.57  0.0        0.0        0.0       0.19323  0.0      0.0
0.49106  0.12500    6.711    263.343     681.30E6   2734.24E6    81.19E6   1168.76E6  0.0      37.34   196.41  0.0        0.0        0.0       0.13252  0.0      0.0
0.62115  0.12500    4.401    200.293     238.63E6   1584.10E6    35.98E6    648.03E6  0.0      13.30   116.30  0.0        0.0        0.0       0.15134  0.0      0.0
0.71870  0.12500    2.890    154.411     107.26E6   1020.16E6    18.54E6    460.01E6  0.0       6.22    85.78  0.0        0.0        0.0       0.26022  0.0      0.0
0.81626  0.12500    1.730    107.264      61.05E6    518.19E6     9.07E6    244.04E6  0.0       3.36    45.44  0.0        0.0        0.0       0.20600  0.0      0.0
0.89756  0.12500    0.760     83.001      34.67E6    353.72E6     6.09E6    160.25E6  0.0       1.93    30.12  0.0        0.0        0.0       0.23124  0.0      0.0
1.00000  0.12500    0.000     10.319       0.17E6      5.01E6     0.19E6      3.53E6  0.0       0.02     0.68  0.0        0.0        0.0       0.05181  0.0      0.0
